data_dia,num_internacoes
2012-11-03,307
2012-11-04,321
2012-11-05,488
2012-11-06,488
2012-11-07,396
2012-11-08,499
2012-11-09,422
2012-11-10,345
2012-11-11,243
2012-11-12,439
2012-11-13,361
2012-11-14,359
2012-11-15,309
2012-11-16,243
2012-11-17,243
2012-11-18,318
2012-11-19,411
2012-11-20,459
2012-11-21,478
2012-11-22,473
2012-11-23,446
2012-11-24,411
2012-11-25,244
2012-11-26,512
2012-11-27,411
2012-11-28,576
2012-11-29,421
2012-11-30,379
2012-12-01,403
2012-12-02,341
2012-12-03,482
2012-12-04,545
2012-12-05,325
2012-12-06,390
2012-12-07,390
2012-12-08,416
2012-12-09,315
2012-12-10,560
2012-12-11,424
2012-12-12,386
2012-12-13,272
2012-12-14,415
2012-12-15,350
2012-12-16,238
2012-12-17,362
2012-12-18,279
2012-12-19,385
2012-12-20,346
2012-12-21,409
2012-12-22,354
2012-12-23,269
2012-12-24,218
2012-12-25,206
2012-12-26,616
2012-12-27,452
2012-12-28,510
2012-12-29,437
2012-12-30,193
2012-12-31,276
2013-01-01,516
2013-01-02,492
2013-01-03,468
2013-01-04,432
2013-01-05,384
2013-01-06,312
2013-01-07,420
2013-01-08,468
2013-01-09,384
2013-01-10,444
2013-01-11,360
2013-01-12,288
2013-01-13,192
2013-01-14,384
2013-01-15,336
2013-01-16,420
2013-01-17,264
2013-01-18,408
2013-01-19,228
2013-01-20,336
2013-01-21,360
2013-01-22,468
2013-01-23,276
2013-01-24,300
2013-01-25,336
2013-01-26,264
2013-01-27,288
2013-01-28,300
2013-01-29,396
2013-01-30,312
2013-01-31,348
2013-02-01,492
2013-02-02,264
2013-02-03,204
2013-02-04,360
2013-02-05,468
2013-02-06,276
2013-02-07,312
2013-02-08,264
2013-02-09,276
2013-02-10,264
2013-02-11,348
2013-02-12,348
2013-02-13,408
2013-02-14,564
2013-02-15,444
2013-02-16,396
2013-02-17,384
2013-02-18,516
2013-02-19,540
2013-02-20,456
2013-02-21,468
2013-02-22,360
2013-02-23,312
2013-02-24,312
2013-02-25,372
2013-02-26,480
2013-02-27,420
2013-02-28,408
2013-03-01,492
2013-03-02,396
2013-03-03,480
2013-03-04,576
2013-03-05,456
2013-03-06,528
2013-03-07,360
2013-03-08,468
2013-03-09,420
2013-03-10,384
2013-03-11,624
2013-03-12,468
2013-03-13,588
2013-03-14,576
2013-03-15,540
2013-03-16,432
2013-03-17,300
2013-03-18,564
2013-03-19,468
2013-03-20,552
2013-03-21,468
2013-03-22,504
2013-03-23,300
2013-03-24,504
2013-03-25,780
2013-03-26,552
2013-03-27,612
2013-03-28,408
2013-03-29,360
2013-03-30,456
2013-03-31,252
2013-04-01,648
2013-04-02,660
2013-04-03,636
2013-04-04,636
2013-04-05,636
2013-04-06,648
2013-04-07,504
2013-04-08,1068
2013-04-09,732
2013-04-10,732
2013-04-11,708
2013-04-12,720
2013-04-13,576
2013-04-14,492
2013-04-15,768
2013-04-16,792
2013-04-17,660
2013-04-18,744
2013-04-19,756
