data_dia,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,AQI,Qualidade_do_Ar
2012-01-01,2012,1,1,0.8499916663308724,25.835,92.165,0.21570275577738143,1.2561889903067718,4.184801637603493,2.770516397810621,1.5676918407701617,6.4698349055705275,3.0151622535383913,3.8382498200076762,1.8612473211046314,1
2012-01-02,2012,1,2,0.8910935568813538,22.836,95.589,0.18157179776885893,1.8845913430068317,4.419029679898907,3.0190502602681697,1.1894130315504454,6.013861625857254,2.5570838636664397,2.2399779779753177,1.793171287795422,1
2012-01-03,2012,1,3,0.024357409108190942,24.948,76.139,0.16526675468722163,2.0212305799803154,4.512331234611196,3.108324012556316,2.0044122540096456,5.246713748873108,3.020043516199696,2.0085421012797195,1.8612473211046314,1
2012-01-04,2012,1,4,0.0474930014812321,26.006,72.904,0.1709639307970415,2.17501175966144,5.096620613124276,3.324093853918334,1.7367373974823805,6.754887908684927,3.3538676082812677,3.968770586129137,1.9472399229596815,1
2012-01-05,2012,1,5,-0.0,26.498,75.514,0.16947148372022364,2.0074400245661446,4.843476741547732,3.181217131244547,1.7157699945273668,7.889395242622354,3.2834832905684728,3.3436319411263944,1.9929941237072204,1
2012-01-06,2012,1,6,0.8631185627621861,27.08,77.411,0.19092101447933102,1.8405927640820132,4.921788285563426,3.1372856009337813,2.144553931063791,7.908702045937096,3.112976237705345,2.911403789574942,1.9258127967612941,1
2012-01-07,2012,1,7,0.22762611738462932,27.636,71.902,0.187153825155811,1.822647483655531,4.38588750068066,2.98405363940284,1.863347007947353,8.039789641755299,2.921945386435509,2.823241250949408,1.9758653291666035,1
2012-01-08,2012,1,8,0.8399408055264647,26.417,81.172,0.19862507836951193,1.6243475449541145,4.844071231309268,3.0572697636377164,2.6279387899926494,8.425449427756886,3.227124601766228,3.9640698678465665,1.9929941237072204,1
2012-01-09,2012,1,9,0.7021680615975536,25.065,85.36,0.17243737569879947,1.914053237436876,4.785359515046163,3.1271573595796824,1.7157699945273668,5.625094511355824,2.6753770006963826,2.3707505028906786,1.8756706261639453,1
2012-01-10,2012,1,10,0.8187207518750126,26.069,79.222,0.19776675749495184,2.1616006409604007,5.006760021117489,3.297634665735729,2.206366962115227,5.032456204137566,3.120219281289472,2.873377648605789,1.889264463414099,1
2012-01-11,2012,1,11,0.401045546463743,25.975,82.192,0.1954395995604753,1.973696025999844,5.088591939382017,3.22768731542608,2.273818991692681,5.75379641282688,3.148401768701105,2.626555097380701,1.9367868827255603,1
2012-01-12,2012,1,12,-0.0,28.18,71.354,0.18779139477951573,2.125166338608272,4.959844805002661,3.2671481360823935,2.781217608842602,5.46562348120371,3.281281089621826,2.538761952571278,1.9667441842289797,1
2012-01-13,2012,1,13,0.7853336289160284,29.928,66.715,0.20087652901682942,2.153197919612692,4.902936498424897,3.2705229047920517,3.153111228167934,6.142210437340233,3.3374454917289076,2.795635358553697,2.001052492761799,1
2012-01-14,2012,1,14,0.33696896398675286,32.712,52.977,0.19425473197834192,2.1030953052962316,4.744633446825371,3.21173863535464,2.264265559668516,7.1099392542283395,3.237457377188279,3.3497199948998104,1.957213383052977,1
2012-01-15,2012,1,15,0.8479888896760823,31.148,59.926,0.20388582303266797,1.726133391251004,4.39832541561756,2.9523794309313054,1.5535649498104989,7.743486949245933,3.0108899809288427,3.1294465089447216,1.9142709017466655,1
2012-01-16,2012,1,16,0.8076520321709478,27.62,81.468,0.2135629567163477,1.867639301821866,5.147794837512266,3.2069662415554565,2.609806387345908,8.275419640629412,3.165745439684468,4.0370142190897305,2.0234598623466757,1
2012-01-17,2012,1,17,-0.0,28.135,76.811,0.2202653921254091,2.1055535743801315,5.516347127043402,3.3834882439509415,2.7780499033345474,8.794091852948023,3.5011025253042756,4.718717545142694,2.198662844503814,2
2012-01-18,2012,1,18,-0.0,28.53,73.854,0.18936822736012565,1.7874615960854408,4.776325935321408,3.0802629598213396,2.28053837832231,9.48294179285811,3.5018692420156934,4.280420027261434,2.132646233450581,2
2012-01-19,2012,1,19,0.8678596535003571,28.348,73.799,0.18683356030006412,1.931090137554825,4.891535227057904,3.1610060847050367,2.5834517229003433,9.332636969507883,3.588042612641034,4.31193634325573,2.1120426586282863,2
2012-01-20,2012,1,20,0.024357409108190942,28.417,73.456,0.18190840011468995,1.668341457879016,4.948932617421947,3.0983924396924247,2.8437317375852413,9.026557100906377,3.390795599905048,4.4321220635494205,2.1120426586282863,2
2012-01-21,2012,1,21,-0.0,29.532,67.107,0.17639380022995294,1.8710882529363617,4.943124640779064,3.1532334881226842,3.4519498071913013,9.300273822792263,3.5179426625996117,3.6179645951656694,2.167499125186141,2
2012-01-22,2012,1,22,-0.0,29.83,65.18,0.16448605790710147,1.5739822395486824,4.584947138867307,2.966275052820557,2.64713013296986,8.731898086943891,3.3144080941318803,2.7916352121606876,2.1247007196919947,2
2012-01-23,2012,1,23,-0.0,30.644,61.479,0.17849439588492935,1.9825855774190388,4.6972687935540876,3.134191257643939,2.666406658663134,7.96558981871361,3.376925255450171,2.8849104746663703,2.078382229170303,2
2012-01-24,2012,1,24,-0.0,31.513,56.738,0.17425291687085911,2.0638537438839957,4.598022094235404,3.1517372923379057,2.9344376653686477,7.2280658192298155,3.4790975815365615,2.9151880231865666,2.030400055305951,1
2012-01-25,2012,1,25,-0.0,32.414,53.373,0.18683356030006412,2.0824372281216426,4.636650513160005,3.17067957800099,2.6867059849328614,6.680606247988244,3.400626274525459,2.4470635458688017,2.001052492761799,1
