objectid,data,estação,estacao_nome,poluente,classificação,iqar,codnum
59299,2017/01/08 03:00:00+00,CG,Campo Grande,O3,Boa,43,4
59300,2017/01/08 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,16,6
59301,2017/01/08 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,46,
59302,2017/01/09 03:00:00+00,CA,Centro,,Indisponível,,3
59303,2017/01/09 03:00:00+00,AV,Copacabana,MP10,Regular,56,1
59304,2017/01/09 03:00:00+00,SC,São Cristóvão,O3,Regular,87,7
59305,2017/01/09 03:00:00+00,SP,Tijuca,,Indisponível,,8
59306,2017/01/09 03:00:00+00,IR,Irajá,MP10,Boa,30,5
59307,2017/01/09 03:00:00+00,BG,Bangu,O3,Inadequada,113,2
59308,2017/01/09 03:00:00+00,CG,Campo Grande,O3,Regular,64,4
59309,2017/01/09 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,74,6
59310,2017/01/09 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,50,
59311,2017/01/10 03:00:00+00,CA,Centro,MP10,Boa,35,3
59312,2017/01/10 03:00:00+00,AV,Copacabana,O3,Regular,64,1
59313,2017/01/10 03:00:00+00,SC,São Cristóvão,O3,Regular,100,7
59314,2017/01/10 03:00:00+00,SP,Tijuca,,Indisponível,,8
59315,2017/01/10 03:00:00+00,IR,Irajá,MP10,Boa,35,5
59316,2017/01/10 03:00:00+00,BG,Bangu,O3,Regular,83,2
59317,2017/01/10 03:00:00+00,CG,Campo Grande,O3,Regular,62,4
59318,2017/01/10 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,82,6
59319,2017/01/10 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,48,
59320,2017/01/11 03:00:00+00,CA,Centro,MP10,Boa,30,3
59321,2017/01/11 03:00:00+00,AV,Copacabana,MP10,Regular,57,1
59322,2017/01/11 03:00:00+00,SC,São Cristóvão,O3,Regular,73,7
59323,2017/01/11 03:00:00+00,SP,Tijuca,,Indisponível,,8
59324,2017/01/11 03:00:00+00,IR,Irajá,MP10,Boa,35,5
59325,2017/01/11 03:00:00+00,BG,Bangu,O3,Regular,88,2
59326,2017/01/11 03:00:00+00,CG,Campo Grande,O3,Regular,82,4
59327,2017/01/11 03:00:00+00,PG,Pedra de Guaratiba,,Indisponível,,6
59328,2017/01/11 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,47,
59329,2017/01/12 03:00:00+00,CA,Centro,MP10,Boa,28,3
59330,2017/01/12 03:00:00+00,AV,Copacabana,MP10,Regular,53,1
59331,2017/01/12 03:00:00+00,SC,São Cristóvão,O3,Boa,40,7
59332,2017/01/12 03:00:00+00,SP,Tijuca,,Indisponível,,8
59333,2017/01/12 03:00:00+00,IR,Irajá,MP10,Boa,34,5
59334,2017/01/12 03:00:00+00,BG,Bangu,O3,Regular,78,2
59335,2017/01/12 03:00:00+00,CG,Campo Grande,O3,Regular,56,4
59336,2017/01/12 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,49,6
59337,2017/01/12 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,,Indisponível,,
59338,2017/01/13 03:00:00+00,CA,Centro,O3,Boa,23,3
59339,2017/01/13 03:00:00+00,AV,Copacabana,MP10,Boa,44,1
59340,2017/01/13 03:00:00+00,SC,São Cristóvão,O3,Boa,30,7
59341,2017/01/13 03:00:00+00,SP,Tijuca,,Indisponível,,8
59342,2017/01/13 03:00:00+00,IR,Irajá,NO2,Boa,30,5
59343,2017/01/13 03:00:00+00,BG,Bangu,O3,Boa,50,2
59344,2017/01/13 03:00:00+00,CG,Campo Grande,O3,Boa,36,4
59345,2017/01/13 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,44,6
59346,2017/01/13 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,,Indisponível,,
59347,2017/01/14 03:00:00+00,CA,Centro,O3,Regular,65,3
59348,2017/01/14 03:00:00+00,AV,Copacabana,O3,Regular,61,1
59349,2017/01/14 03:00:00+00,SC,São Cristóvão,O3,Regular,79,7
59350,2017/01/14 03:00:00+00,SP,Tijuca,O3,Regular,57,8
59351,2017/01/14 03:00:00+00,IR,Irajá,MP10,Boa,30,5
59352,2017/01/14 03:00:00+00,BG,Bangu,O3,Regular,66,2
59353,2017/01/14 03:00:00+00,CG,Campo Grande,O3,Boa,48,4
59354,2017/01/14 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,46,6
59355,2017/01/14 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,57,
59356,2017/01/15 03:00:00+00,CA,Centro,O3,Regular,58,3
59357,2017/01/15 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
59358,2017/01/15 03:00:00+00,SC,São Cristóvão,O3,Regular,68,7
59359,2017/01/15 03:00:00+00,SP,Tijuca,O3,Regular,68,8
59360,2017/01/15 03:00:00+00,IR,Irajá,MP10,Boa,29,5
59361,2017/01/15 03:00:00+00,BG,Bangu,O3,Regular,85,2
59362,2017/01/15 03:00:00+00,CG,Campo Grande,O3,Regular,61,4
59363,2017/01/15 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,31,6
59364,2017/01/15 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59365,2017/01/16 03:00:00+00,CA,Centro,O3,Boa,47,3
59366,2017/01/16 03:00:00+00,AV,Copacabana,MP10,Regular,53,1
59367,2017/01/16 03:00:00+00,SC,São Cristóvão,O3,Regular,62,7
59368,2017/01/16 03:00:00+00,SP,Tijuca,O3,Regular,57,8
59369,2017/01/16 03:00:00+00,IR,Irajá,MP10,Boa,36,5
59370,2017/01/16 03:00:00+00,BG,Bangu,O3,Regular,88,2
59371,2017/01/16 03:00:00+00,CG,Campo Grande,O3,Regular,60,4
