objectid,data,estação,estacao_nome,poluente,classificação,iqar,codnum
62564,2018/01/06 03:00:00+00,IR,Irajá,NO2,Boa,40,5
62565,2018/01/06 03:00:00+00,BG,Bangu,O3,Boa,44,2
62566,2018/01/06 03:00:00+00,CG,Campo Grande,O3,Boa,42,4
62567,2018/01/06 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,48,6
62568,2018/01/06 03:00:00+00,,Unidade Móvel Recreio,O3,Boa,43,
62569,2018/01/07 03:00:00+00,CA,Centro,O3,Regular,54,3
62570,2018/01/07 03:00:00+00,AV,Copacabana,O3,Regular,55,1
62571,2018/01/07 03:00:00+00,SC,São Cristóvão,O3,Boa,43,7
62572,2018/01/07 03:00:00+00,SP,Tijuca,O3,Boa,49,8
62573,2018/01/07 03:00:00+00,IR,Irajá,NO2,Boa,28,5
62574,2018/01/07 03:00:00+00,BG,Bangu,O3,Boa,47,2
62575,2018/01/07 03:00:00+00,CG,Campo Grande,O3,Boa,46,4
62576,2018/01/07 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,47,6
62577,2018/01/07 03:00:00+00,,Unidade Móvel Recreio,O3,Boa,48,
62578,2018/01/08 03:00:00+00,CA,Centro,MP10,Boa,27,3
62579,2018/01/08 03:00:00+00,AV,Copacabana,MP10,Boa,29,1
62580,2018/01/08 03:00:00+00,SC,São Cristóvão,O3,Boa,28,7
62581,2018/01/08 03:00:00+00,SP,Tijuca,NO2,Boa,38,8
62582,2018/01/08 03:00:00+00,IR,Irajá,NO2,Boa,29,5
62583,2018/01/08 03:00:00+00,BG,Bangu,O3,Regular,52,2
62584,2018/01/08 03:00:00+00,CG,Campo Grande,O3,Boa,46,4
62585,2018/01/08 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,47,6
62586,2018/01/08 03:00:00+00,,Unidade Móvel Recreio,O3,Boa,41,
62587,2018/01/09 03:00:00+00,CA,Centro,MP10,Boa,41,3
62588,2018/01/09 03:00:00+00,AV,Copacabana,MP10,Boa,40,1
62589,2018/01/09 03:00:00+00,SC,São Cristóvão,O3,Boa,28,7
62590,2018/01/09 03:00:00+00,SP,Tijuca,NO2,Boa,35,8
62591,2018/01/09 03:00:00+00,IR,Irajá,NO2,Boa,27,5
62592,2018/01/09 03:00:00+00,BG,Bangu,O3,Regular,68,2
62593,2018/01/09 03:00:00+00,CG,Campo Grande,O3,Regular,73,4
62594,2018/01/09 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,50,6
62595,2018/01/09 03:00:00+00,,Unidade Móvel Recreio,O3,Boa,44,
62596,2018/01/10 03:00:00+00,CA,Centro,MP10,Boa,34,3
62597,2018/01/10 03:00:00+00,AV,Copacabana,MP10,Boa,35,1
62598,2018/01/10 03:00:00+00,SC,São Cristóvão,O3,Boa,28,7
62599,2018/01/10 03:00:00+00,SP,Tijuca,O3,Boa,35,8
62600,2018/01/10 03:00:00+00,IR,Irajá,MP10,Boa,17,5
62601,2018/01/10 03:00:00+00,BG,Bangu,O3,Regular,65,2
62602,2018/01/10 03:00:00+00,CG,Campo Grande,O3,Regular,59,4
62603,2018/01/10 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,39,6
62604,2018/01/10 03:00:00+00,,Unidade Móvel Recreio,O3,Boa,30,
62605,2018/01/11 03:00:00+00,CA,Centro,MP10,Boa,35,3
62606,2018/01/11 03:00:00+00,AV,Copacabana,MP10,Boa,37,1
62607,2018/01/11 03:00:00+00,SC,São Cristóvão,O3,Boa,24,7
62608,2018/01/11 03:00:00+00,SP,Tijuca,O3,Boa,41,8
62609,2018/01/11 03:00:00+00,IR,Irajá,MP10,Boa,27,5
62610,2018/01/11 03:00:00+00,BG,Bangu,O3,Regular,98,2
62611,2018/01/11 03:00:00+00,CG,Campo Grande,O3,Regular,99,4
62612,2018/01/11 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,62,6
62613,2018/01/11 03:00:00+00,,Unidade Móvel Recreio,O3,Boa,33,
62614,2018/01/12 03:00:00+00,CA,Centro,MP10,Boa,37,3
62615,2018/01/12 03:00:00+00,AV,Copacabana,MP10,Boa,39,1
62616,2018/01/12 03:00:00+00,SC,São Cristóvão,O3,Regular,52,7
62617,2018/01/12 03:00:00+00,SP,Tijuca,O3,Boa,41,8
62618,2018/01/12 03:00:00+00,IR,Irajá,MP10,Boa,27,5
62619,2018/01/12 03:00:00+00,BG,Bangu,O3,Regular,89,2
62620,2018/01/12 03:00:00+00,CG,Campo Grande,O3,Regular,91,4
62621,2018/01/12 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,58,6
62622,2018/01/12 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,44,
62623,2018/01/13 03:00:00+00,CA,Centro,O3,Regular,65,3
62624,2018/01/13 03:00:00+00,AV,Copacabana,MP10,Boa,44,1
62625,2018/01/13 03:00:00+00,SC,São Cristóvão,,Indisponível,,7
62626,2018/01/13 03:00:00+00,SP,Tijuca,O3,Regular,62,8
62627,2018/01/13 03:00:00+00,IR,Irajá,MP10,Boa,30,5
62628,2018/01/13 03:00:00+00,BG,Bangu,O3,Boa,50,2
62629,2018/01/13 03:00:00+00,CG,Campo Grande,O3,Regular,52,4
62630,2018/01/13 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,47,6
62631,2018/01/13 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,52,
62632,2018/01/14 03:00:00+00,CA,Centro,O3,Regular,61,3
62633,2018/01/14 03:00:00+00,AV,Copacabana,MP10,Boa,44,1
62634,2018/01/14 03:00:00+00,SC,São Cristóvão,O3,Regular,62,7
62635,2018/01/14 03:00:00+00,SP,Tijuca,O3,Regular,63,8
62636,2018/01/14 03:00:00+00,IR,Irajá,MP10,Boa,30,5
62637,2018/01/14 03:00:00+00,BG,Bangu,O3,Regular,51,2
62638,2018/01/14 03:00:00+00,CG,Campo Grande,O3,Regular,52,4
62639,2018/01/14 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,64,6
62640,2018/01/14 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,69,
62641,2018/01/15 03:00:00+00,CA,Centro,O3,Regular,57,3
62642,2018/01/15 03:00:00+00,AV,Copacabana,MP10,Boa,38,1
62643,2018/01/15 03:00:00+00,SC,São Cristóvão,O3,Regular,69,7
62644,2018/01/15 03:00:00+00,SP,Tijuca,O3,Regular,76,8
62645,2018/01/15 03:00:00+00,IR,Irajá,NO2,Boa,34,5
62646,2018/01/15 03:00:00+00,BG,Bangu,O3,Regular,55,2
62647,2018/01/15 03:00:00+00,CG,Campo Grande,O3,Boa,42,4
62648,2018/01/15 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,58,6
62649,2018/01/15 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,65,
62650,2018/01/16 03:00:00+00,CA,Centro,O3,Boa,33,3
62651,2018/01/16 03:00:00+00,AV,Copacabana,O3,Boa,50,1
62652,2018/01/16 03:00:00+00,SC,São Cristóvão,O3,Boa,39,7
62653,2018/01/16 03:00:00+00,SP,Tijuca,O3,Regular,53,8
62654,2018/01/16 03:00:00+00,IR,Irajá,NO2,Boa,40,5
62655,2018/01/16 03:00:00+00,BG,Bangu,O3,Inadequada,126,2
62656,2018/01/16 03:00:00+00,CG,Campo Grande,O3,Regular,78,4
62657,2018/01/16 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,70,6
62658,2018/01/16 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,65,
62659,2018/01/17 03:00:00+00,CA,Centro,O3,Boa,38,3
62660,2018/01/17 03:00:00+00,AV,Copacabana,O3,Regular,53,1
62661,2018/01/17 03:00:00+00,SC,São Cristóvão,O3,Boa,45,7
62662,2018/01/17 03:00:00+00,SP,Tijuca,O3,Boa,50,8
62663,2018/01/17 03:00:00+00,IR,Irajá,O3,Regular,73,5
62664,2018/01/17 03:00:00+00,BG,Bangu,O3,Regular,88,2
62665,2018/01/17 03:00:00+00,CG,Campo Grande,O3,Inadequada,164,4
62666,2018/01/17 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,76,6
62667,2018/01/17 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,88,
62668,2018/01/18 03:00:00+00,CA,Centro,MP10,Boa,49,3
62669,2018/01/18 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
62670,2018/01/18 03:00:00+00,SC,São Cristóvão,O3,Regular,75,7
62671,2018/01/18 03:00:00+00,SP,Tijuca,O3,Regular,72,8
62672,2018/01/18 03:00:00+00,IR,Irajá,O3,Regular,52,5
62673,2018/01/18 03:00:00+00,BG,Bangu,O3,Regular,81,2
62674,2018/01/18 03:00:00+00,CG,Campo Grande,O3,Regular,77,4
62675,2018/01/18 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,51,6
62676,2018/01/18 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,70,
62677,2018/01/19 03:00:00+00,CA,Centro,MP10,Boa,47,3
62678,2018/01/19 03:00:00+00,AV,Copacabana,MP10,Regular,54,1
62679,2018/01/19 03:00:00+00,SC,São Cristóvão,O3,Regular,78,7
62680,2018/01/19 03:00:00+00,SP,Tijuca,O3,Regular,94,8
62681,2018/01/19 03:00:00+00,IR,Irajá,O3,Regular,81,5
62682,2018/01/19 03:00:00+00,BG,Bangu,O3,Regular,89,2
62683,2018/01/19 03:00:00+00,CG,Campo Grande,O3,Regular,57,4
62684,2018/01/19 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,76,6
62685,2018/01/19 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,68,
62686,2018/01/20 03:00:00+00,CA,Centro,O3,Boa,41,3
62687,2018/01/20 03:00:00+00,AV,Copacabana,MP10,Boa,43,1
62688,2018/01/20 03:00:00+00,SC,São Cristóvão,O3,Regular,53,7
62689,2018/01/20 03:00:00+00,SP,Tijuca,O3,Regular,77,8
62690,2018/01/20 03:00:00+00,IR,Irajá,O3,Regular,80,5
62691,2018/01/20 03:00:00+00,BG,Bangu,O3,Regular,83,2
62692,2018/01/20 03:00:00+00,CG,Campo Grande,O3,Regular,55,4
62693,2018/01/20 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,60,6
62694,2018/01/20 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,62,
62695,2018/01/21 03:00:00+00,CA,Centro,MP10,Boa,34,3
62696,2018/01/21 03:00:00+00,AV,Copacabana,MP10,Boa,40,1
62697,2018/01/21 03:00:00+00,SC,São Cristóvão,O3,Boa,46,7
62698,2018/01/21 03:00:00+00,SP,Tijuca,O3,Boa,49,8
62699,2018/01/21 03:00:00+00,IR,Irajá,O3,Regular,60,5
62700,2018/01/21 03:00:00+00,BG,Bangu,O3,Regular,94,2
62701,2018/01/21 03:00:00+00,CG,Campo Grande,O3,Regular,92,4
62702,2018/01/21 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,57,6
62703,2018/01/21 03:00:00+00,,Unidade Móvel Recreio,O3,Boa,50,
62704,2018/01/22 03:00:00+00,CA,Centro,MP10,Boa,48,3
62705,2018/01/22 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
62706,2018/01/22 03:00:00+00,SC,São Cristóvão,O3,Regular,76,7
62707,2018/01/22 03:00:00+00,SP,Tijuca,O3,Regular,71,8
62708,2018/01/22 03:00:00+00,IR,Irajá,O3,Regular,89,5
62709,2018/01/22 03:00:00+00,BG,Bangu,O3,Inadequada,181,2
62710,2018/01/22 03:00:00+00,CG,Campo Grande,O3,Regular,89,4
62711,2018/01/22 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,49,6
62712,2018/01/22 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,80,
62713,2018/01/23 03:00:00+00,CA,Centro,O3,Regular,58,3
62714,2018/01/23 03:00:00+00,AV,Copacabana,O3,Regular,64,1
62715,2018/01/23 03:00:00+00,SC,São Cristóvão,O3,Regular,75,7
62716,2018/01/23 03:00:00+00,SP,Tijuca,O3,Regular,89,8
62717,2018/01/23 03:00:00+00,IR,Irajá,O3,Regular,71,5
62718,2018/01/23 03:00:00+00,BG,Bangu,,Indisponível,,2
62719,2018/01/23 03:00:00+00,CG,Campo Grande,O3,Regular,75,4
62720,2018/01/23 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,27,6
62721,2018/01/23 03:00:00+00,,Unidade Móvel Recreio,O3,Inadequada,116,
62722,2018/01/24 03:00:00+00,CA,Centro,O3,Boa,48,3
62723,2018/01/24 03:00:00+00,AV,Copacabana,O3,Boa,46,1
62724,2018/01/24 03:00:00+00,SC,São Cristóvão,O3,Regular,86,7
62725,2018/01/24 03:00:00+00,SP,Tijuca,O3,Regular,83,8
62726,2018/01/24 03:00:00+00,IR,Irajá,O3,Regular,70,5
62727,2018/01/24 03:00:00+00,BG,Bangu,O3,Regular,98,2
62728,2018/01/24 03:00:00+00,CG,Campo Grande,O3,Regular,74,4
62729,2018/01/24 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,33,6
62730,2018/01/24 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,89,
62731,2018/01/25 03:00:00+00,CA,Centro,MP10,Boa,43,3
62732,2018/01/25 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
62733,2018/01/25 03:00:00+00,SC,São Cristóvão,O3,Regular,68,7
62734,2018/01/25 03:00:00+00,SP,Tijuca,MP10,Regular,54,8
62735,2018/01/25 03:00:00+00,IR,Irajá,O3,Regular,58,5
62736,2018/01/25 03:00:00+00,BG,Bangu,O3,Regular,88,2
62737,2018/01/25 03:00:00+00,CG,Campo Grande,O3,Boa,47,4
62738,2018/01/25 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,38,6
62739,2018/01/25 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,63,
62740,2018/01/26 03:00:00+00,CA,Centro,MP10,Boa,35,3
62741,2018/01/26 03:00:00+00,AV,Copacabana,MP10,Boa,47,1
62742,2018/01/26 03:00:00+00,SC,São Cristóvão,O3,Boa,47,7
62743,2018/01/26 03:00:00+00,SP,Tijuca,O3,Boa,44,8
62744,2018/01/26 03:00:00+00,IR,Irajá,O3,Boa,36,5
62745,2018/01/26 03:00:00+00,BG,Bangu,O3,Boa,46,2
62746,2018/01/26 03:00:00+00,CG,Campo Grande,O3,Boa,38,4
62747,2018/01/26 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,23,6
62748,2018/01/26 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,47,
62749,2018/01/27 03:00:00+00,CA,Centro,MP10,Boa,37,3
62750,2018/01/27 03:00:00+00,AV,Copacabana,MP10,Regular,55,1
62751,2018/01/27 03:00:00+00,SC,São Cristóvão,MP10,Boa,24,7
62752,2018/01/27 03:00:00+00,SP,Tijuca,MP10,Boa,28,8
62753,2018/01/27 03:00:00+00,IR,Irajá,NO2,Boa,32,5
62754,2018/01/27 03:00:00+00,BG,Bangu,O3,Boa,26,2
62755,2018/01/27 03:00:00+00,CG,Campo Grande,O3,Boa,23,4
62756,2018/01/27 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,23,6
62757,2018/01/27 03:00:00+00,,Unidade Móvel Recreio,MP10,Regular,52,
62758,2018/01/28 03:00:00+00,CA,Centro,O3,Boa,36,3
62759,2018/01/28 03:00:00+00,AV,Copacabana,MP10,Boa,48,1
62760,2018/01/28 03:00:00+00,SC,São Cristóvão,O3,Boa,42,7
62761,2018/01/28 03:00:00+00,SP,Tijuca,O3,Boa,41,8
62762,2018/01/28 03:00:00+00,IR,Irajá,O3,Boa,49,5
62763,2018/01/28 03:00:00+00,BG,Bangu,O3,Regular,75,2
62764,2018/01/28 03:00:00+00,CG,Campo Grande,O3,Regular,68,4
62765,2018/01/28 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,25,6
62766,2018/01/28 03:00:00+00,,Unidade Móvel Recreio,MP10,Regular,53,
62767,2018/01/29 03:00:00+00,CA,Centro,MP10,Boa,28,3
62768,2018/01/29 03:00:00+00,AV,Copacabana,MP10,Boa,48,1
62769,2018/01/29 03:00:00+00,SC,São Cristóvão,MP10,Boa,37,7
62770,2018/01/29 03:00:00+00,SP,Tijuca,MP10,Boa,36,8
62771,2018/01/29 03:00:00+00,IR,Irajá,O3,Boa,31,5
62772,2018/01/29 03:00:00+00,BG,Bangu,O3,Regular,60,2
62773,2018/01/29 03:00:00+00,CG,Campo Grande,MP10,Boa,26,4
62774,2018/01/29 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,26,6
62775,2018/01/29 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,52,
62776,2018/01/30 03:00:00+00,CA,Centro,O3,Boa,33,3
62777,2018/01/30 03:00:00+00,AV,Copacabana,MP10,Boa,38,1
62778,2018/01/30 03:00:00+00,SC,São Cristóvão,O3,Boa,43,7
62779,2018/01/30 03:00:00+00,SP,Tijuca,O3,Boa,41,8
62780,2018/01/30 03:00:00+00,IR,Irajá,O3,Boa,39,5
62781,2018/01/30 03:00:00+00,BG,Bangu,O3,Regular,51,2
62782,2018/01/30 03:00:00+00,CG,Campo Grande,NO2,Boa,23,4
62783,2018/01/30 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,17,6
62784,2018/01/30 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,53,
62785,2018/01/31 03:00:00+00,CA,Centro,MP10,Boa,26,3
62786,2018/01/31 03:00:00+00,AV,Copacabana,MP10,Boa,35,1
62787,2018/01/31 03:00:00+00,SC,São Cristóvão,O3,Boa,25,7
62788,2018/01/31 03:00:00+00,SP,Tijuca,MP10,Boa,25,8
62789,2018/01/31 03:00:00+00,IR,Irajá,NO2,Boa,25,5
62790,2018/01/31 03:00:00+00,BG,Bangu,O3,Boa,29,2
62791,2018/01/31 03:00:00+00,CG,Campo Grande,O3,Boa,24,4
62792,2018/01/31 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,13,6
62793,2018/01/31 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,43,
62794,2018/02/01 03:00:00+00,CA,Centro,MP10,Boa,24,3
62795,2018/02/01 03:00:00+00,AV,Copacabana,MP10,Boa,33,1
62796,2018/02/01 03:00:00+00,SC,São Cristóvão,O3,Boa,24,7
62797,2018/02/01 03:00:00+00,SP,Tijuca,MP10,Boa,23,8
62798,2018/02/01 03:00:00+00,IR,Irajá,MP10,Boa,25,5
62799,2018/02/01 03:00:00+00,BG,Bangu,O3,Boa,29,2
62800,2018/02/01 03:00:00+00,CG,Campo Grande,O3,Boa,22,4
62801,2018/02/01 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,10,6
62802,2018/02/01 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,40,
62803,2018/02/02 03:00:00+00,CA,Centro,MP10,Boa,23,3
62804,2018/02/02 03:00:00+00,AV,Copacabana,MP10,Boa,37,1
62805,2018/02/02 03:00:00+00,SC,São Cristóvão,O3,Boa,30,7
62806,2018/02/02 03:00:00+00,SP,Tijuca,MP10,Boa,28,8
62807,2018/02/02 03:00:00+00,IR,Irajá,O3,Boa,42,5
62808,2018/02/02 03:00:00+00,BG,Bangu,O3,Boa,45,2
62809,2018/02/02 03:00:00+00,CG,Campo Grande,O3,Boa,37,4
62810,2018/02/02 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,19,6
62811,2018/02/02 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,46,
62812,2018/02/03 03:00:00+00,CA,Centro,O3,Boa,21,3
62813,2018/02/03 03:00:00+00,AV,Copacabana,MP10,Boa,37,1
62814,2018/02/03 03:00:00+00,SC,São Cristóvão,O3,Boa,34,7
62815,2018/02/03 03:00:00+00,SP,Tijuca,O3,Boa,30,8
62816,2018/02/03 03:00:00+00,IR,Irajá,O3,Boa,29,5
62817,2018/02/03 03:00:00+00,BG,Bangu,O3,Boa,30,2
62818,2018/02/03 03:00:00+00,CG,Campo Grande,O3,Boa,26,4
62819,2018/02/03 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,26,6
62820,2018/02/03 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,39,
62821,2018/02/04 03:00:00+00,CA,Centro,O3,Boa,24,3
62822,2018/02/04 03:00:00+00,AV,Copacabana,MP10,Boa,34,1
62823,2018/02/04 03:00:00+00,SC,São Cristóvão,O3,Boa,31,7
62824,2018/02/04 03:00:00+00,SP,Tijuca,O3,Boa,28,8
62825,2018/02/04 03:00:00+00,IR,Irajá,O3,Boa,44,5
62826,2018/02/04 03:00:00+00,BG,Bangu,O3,Boa,44,2
62827,2018/02/04 03:00:00+00,CG,Campo Grande,O3,Boa,43,4
62828,2018/02/04 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,26,6
62829,2018/02/04 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,41,
62830,2018/02/05 03:00:00+00,CA,Centro,MP10,Boa,22,3
62831,2018/02/05 03:00:00+00,AV,Copacabana,MP10,Boa,37,1
62832,2018/02/05 03:00:00+00,SC,São Cristóvão,O3,Boa,24,7
62833,2018/02/05 03:00:00+00,SP,Tijuca,MP10,Boa,29,8
62834,2018/02/05 03:00:00+00,IR,Irajá,O3,Boa,28,5
62835,2018/02/05 03:00:00+00,BG,Bangu,O3,Boa,41,2
62836,2018/02/05 03:00:00+00,CG,Campo Grande,O3,Boa,33,4
62837,2018/02/05 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,38,6
62838,2018/02/05 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,45,
62839,2018/02/06 03:00:00+00,CA,Centro,O3,Boa,27,3
62840,2018/02/06 03:00:00+00,AV,Copacabana,MP10,Boa,36,1
62841,2018/02/06 03:00:00+00,SC,São Cristóvão,O3,Boa,29,7
62842,2018/02/06 03:00:00+00,SP,Tijuca,NO2,Boa,28,8
62843,2018/02/06 03:00:00+00,IR,Irajá,NO2,Boa,38,5
62844,2018/02/06 03:00:00+00,BG,Bangu,O3,Boa,43,2
62845,2018/02/06 03:00:00+00,CG,Campo Grande,MP10,Boa,22,4
62846,2018/02/06 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,35,6
62847,2018/02/06 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,45,
62848,2018/02/07 03:00:00+00,CA,Centro,O3,Boa,26,3
62849,2018/02/07 03:00:00+00,AV,Copacabana,MP10,Boa,35,1
62850,2018/02/07 03:00:00+00,SC,São Cristóvão,O3,Boa,29,7
62851,2018/02/07 03:00:00+00,SP,Tijuca,O3,Boa,27,8
62852,2018/02/07 03:00:00+00,IR,Irajá,O3,Boa,32,5
62853,2018/02/07 03:00:00+00,BG,Bangu,O3,Boa,40,2
62854,2018/02/07 03:00:00+00,CG,Campo Grande,O3,Boa,36,4
62855,2018/02/07 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,29,6
62856,2018/02/07 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,42,
62857,2018/02/08 03:00:00+00,CA,Centro,MP10,Boa,26,3
62858,2018/02/08 03:00:00+00,AV,Copacabana,MP10,Boa,43,1
62859,2018/02/08 03:00:00+00,SC,São Cristóvão,O3,Boa,41,7
62860,2018/02/08 03:00:00+00,SP,Tijuca,O3,Boa,41,8
62861,2018/02/08 03:00:00+00,IR,Irajá,O3,Regular,59,5
62862,2018/02/08 03:00:00+00,BG,Bangu,O3,Regular,54,2
62863,2018/02/08 03:00:00+00,CG,Campo Grande,O3,Boa,48,4
62864,2018/02/08 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,39,6
62865,2018/02/08 03:00:00+00,,Unidade Móvel Recreio,MP10,Boa,45,
62866,2018/02/09 03:00:00+00,CA,Centro,O3,Boa,31,3
62867,2018/02/09 03:00:00+00,AV,Copacabana,MP10,Boa,45,1
62868,2018/02/09 03:00:00+00,SC,São Cristóvão,O3,Regular,58,7
62869,2018/02/09 03:00:00+00,SP,Tijuca,O3,Regular,54,8
62870,2018/02/09 03:00:00+00,IR,Irajá,O3,Regular,73,5
62871,2018/02/09 03:00:00+00,BG,Bangu,O3,Má,202,2
62872,2018/02/09 03:00:00+00,CG,Campo Grande,O3,Regular,89,4
62873,2018/02/09 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,34,6
62874,2018/02/09 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,79,
62875,2018/02/10 03:00:00+00,CA,Centro,O3,Regular,53,3
62876,2018/02/10 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
62877,2018/02/10 03:00:00+00,SC,São Cristóvão,O3,Regular,65,7
62878,2018/02/10 03:00:00+00,SP,Tijuca,O3,Regular,60,8
62879,2018/02/10 03:00:00+00,IR,Irajá,O3,Boa,49,5
62880,2018/02/10 03:00:00+00,BG,Bangu,O3,Inadequada,184,2
62881,2018/02/10 03:00:00+00,CG,Campo Grande,O3,Regular,90,4
62882,2018/02/10 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,46,6
62883,2018/02/10 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,71,
62884,2018/02/11 03:00:00+00,CA,Centro,O3,Boa,46,3
62885,2018/02/11 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
62886,2018/02/11 03:00:00+00,SC,São Cristóvão,O3,Regular,65,7
62887,2018/02/11 03:00:00+00,SP,Tijuca,O3,Regular,81,8
62888,2018/02/11 03:00:00+00,IR,Irajá,O3,Boa,48,5
62889,2018/02/11 03:00:00+00,BG,Bangu,O3,Regular,99,2
62890,2018/02/11 03:00:00+00,CG,Campo Grande,O3,Regular,80,4
62891,2018/02/11 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,29,6
62892,2018/02/11 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,88,
62893,2018/02/12 03:00:00+00,CA,Centro,MP10,Boa,34,3
62894,2018/02/12 03:00:00+00,AV,Copacabana,MP10,Regular,55,1
62895,2018/02/12 03:00:00+00,SC,São Cristóvão,O3,Regular,81,7
62896,2018/02/12 03:00:00+00,SP,Tijuca,O3,Regular,79,8
62897,2018/02/12 03:00:00+00,IR,Irajá,O3,Regular,53,5
62898,2018/02/12 03:00:00+00,BG,Bangu,O3,Regular,88,2
62899,2018/02/12 03:00:00+00,CG,Campo Grande,O3,Regular,75,4
62900,2018/02/12 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,35,6
62901,2018/02/12 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,92,
62902,2018/02/13 03:00:00+00,CA,Centro,O3,Regular,60,3
62903,2018/02/13 03:00:00+00,AV,Copacabana,MP10,Regular,53,1
62904,2018/02/13 03:00:00+00,SC,São Cristóvão,O3,Regular,85,7
62905,2018/02/13 03:00:00+00,SP,Tijuca,O3,Regular,78,8
62906,2018/02/13 03:00:00+00,IR,Irajá,,Indisponível,,5
62907,2018/02/13 03:00:00+00,BG,Bangu,O3,Regular,77,2
62908,2018/02/13 03:00:00+00,CG,Campo Grande,O3,Regular,91,4
62909,2018/02/13 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,29,6
62910,2018/02/13 03:00:00+00,,Unidade Móvel Recreio,O3,Regular,93,
62911,2018/02/14 03:00:00+00,CA,Centro,O3,Boa,34,3
62912,2018/02/14 03:00:00+00,AV,Copacabana,MP10,Boa,38,1
62913,2018/02/14 03:00:00+00,SC,São Cristóvão,O3,Boa,42,7
62914,2018/02/14 03:00:00+00,SP,Tijuca,O3,Regular,52,8
62915,2018/02/14 03:00:00+00,IR,Irajá,,Indisponível,,5
62916,2018/02/14 03:00:00+00,BG,Bangu,O3,Boa,45,2
62917,2018/02/14 03:00:00+00,CG,Campo Grande,O3,Boa,41,4
62918,2018/02/14 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,12,6
