data_dia,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,AQI,Qualidade_do_Ar,num_internacoes
2012-01-01,2012,1,1,0.8499916663308724,25.835,92.165,0.2157027557773814,1.2561889903067718,4.184801637603493,2.770516397810621,1.5676918407701617,6.469834905570528,3.0151622535383917,3.838249820007676,1.8612473211046316,1.0,507
2012-01-02,2012,1,2,0.8910935568813538,22.836,95.589,0.1815717977688589,1.884591343006832,4.419029679898907,3.0190502602681697,1.1894130315504454,6.013861625857254,2.55708386366644,2.2399779779753177,1.793171287795422,1.0,728
2012-01-03,2012,1,3,0.0243574091081909,24.948,76.139,0.1652667546872216,2.0212305799803154,4.512331234611196,3.108324012556316,2.0044122540096456,5.246713748873108,3.020043516199696,2.0085421012797195,1.8612473211046316,1.0,429
2012-01-04,2012,1,4,0.0474930014812321,26.006,72.904,0.1709639307970415,2.17501175966144,5.096620613124276,3.324093853918334,1.7367373974823803,6.754887908684927,3.353867608281268,3.968770586129137,1.9472399229596813,1.0,416
2012-01-05,2012,1,5,-0.0,26.498,75.514,0.1694714837202236,2.007440024566145,4.843476741547732,3.181217131244547,1.7157699945273668,7.889395242622354,3.2834832905684728,3.3436319411263944,1.9929941237072204,1.0,403
2012-01-06,2012,1,6,0.8631185627621861,27.08,77.411,0.190921014479331,1.8405927640820128,4.921788285563426,3.1372856009337813,2.144553931063791,7.908702045937096,3.112976237705345,2.911403789574942,1.925812796761294,1.0,520
2012-01-07,2012,1,7,0.2276261173846293,27.636,71.902,0.187153825155811,1.822647483655531,4.38588750068066,2.98405363940284,1.863347007947353,8.039789641755299,2.921945386435509,2.823241250949408,1.9758653291666035,1.0,299
2012-01-08,2012,1,8,0.8399408055264647,26.417,81.172,0.1986250783695119,1.6243475449541145,4.844071231309268,3.0572697636377164,2.6279387899926494,8.425449427756886,3.227124601766228,3.9640698678465673,1.9929941237072204,1.0,390
2012-01-09,2012,1,9,0.7021680615975536,25.065,85.36,0.1724373756987994,1.914053237436876,4.785359515046163,3.1271573595796824,1.7157699945273668,5.625094511355824,2.675377000696382,2.3707505028906786,1.8756706261639453,1.0,442
2012-01-10,2012,1,10,0.8187207518750126,26.069,79.222,0.1977667574949518,2.1616006409604007,5.006760021117489,3.297634665735729,2.206366962115227,5.032456204137566,3.120219281289472,2.873377648605789,1.889264463414099,1.0,546
2012-01-11,2012,1,11,0.401045546463743,25.975,82.192,0.1954395995604753,1.973696025999844,5.088591939382017,3.22768731542608,2.273818991692681,5.75379641282688,3.148401768701105,2.626555097380701,1.9367868827255603,1.0,494
2012-01-12,2012,1,12,-0.0,28.18,71.354,0.1877913947795157,2.125166338608272,4.959844805002661,3.267148136082393,2.781217608842602,5.46562348120371,3.281281089621826,2.538761952571278,1.96674418422898,1.0,468
2012-01-13,2012,1,13,0.7853336289160284,29.928,66.715,0.2008765290168294,2.153197919612692,4.902936498424897,3.270522904792052,3.153111228167934,6.142210437340233,3.337445491728908,2.795635358553697,2.001052492761799,1.0,377
2012-01-14,2012,1,14,0.3369689639867528,32.712,52.977,0.1942547319783419,2.103095305296232,4.744633446825371,3.21173863535464,2.264265559668516,7.10993925422834,3.237457377188279,3.3497199948998104,1.957213383052977,1.0,403
2012-01-15,2012,1,15,0.8479888896760823,31.148,59.926,0.2038858230326679,1.726133391251004,4.39832541561756,2.9523794309313054,1.5535649498104989,7.743486949245933,3.0108899809288427,3.1294465089447216,1.9142709017466653,1.0,260
2012-01-16,2012,1,16,0.8076520321709478,27.62,81.468,0.2135629567163477,1.867639301821866,5.147794837512266,3.2069662415554565,2.609806387345908,8.275419640629412,3.165745439684468,4.0370142190897305,2.023459862346676,1.0,572
2012-01-17,2012,1,17,-0.0,28.135,76.811,0.2202653921254091,2.1055535743801315,5.516347127043402,3.383488243950941,2.778049903334548,8.794091852948023,3.501102525304276,4.718717545142694,2.198662844503814,2.0,390
2012-01-18,2012,1,18,-0.0,28.53,73.854,0.1893682273601256,1.7874615960854408,4.776325935321408,3.08026295982134,2.28053837832231,9.48294179285811,3.5018692420156934,4.280420027261434,2.132646233450581,2.0,403
2012-01-19,2012,1,19,0.8678596535003571,28.348,73.799,0.1868335603000641,1.931090137554825,4.891535227057904,3.1610060847050367,2.5834517229003437,9.332636969507885,3.588042612641034,4.31193634325573,2.1120426586282863,2.0,572
2012-01-20,2012,1,20,0.0243574091081909,28.417,73.456,0.1819084001146899,1.668341457879016,4.948932617421947,3.0983924396924247,2.8437317375852413,9.026557100906375,3.390795599905048,4.4321220635494205,2.1120426586282863,2.0,507
2012-01-21,2012,1,21,-0.0,29.532,67.107,0.1763938002299529,1.8710882529363615,4.943124640779064,3.153233488122684,3.4519498071913013,9.300273822792263,3.517942662599612,3.617964595165669,2.167499125186141,2.0,377
2012-01-22,2012,1,22,-0.0,29.83,65.18,0.1644860579071014,1.5739822395486824,4.584947138867307,2.966275052820557,2.64713013296986,8.731898086943891,3.3144080941318803,2.791635212160688,2.1247007196919947,2.0,156
2012-01-23,2012,1,23,-0.0,30.644,61.479,0.1784943958849293,1.9825855774190388,4.697268793554088,3.134191257643939,2.666406658663134,7.96558981871361,3.376925255450171,2.8849104746663703,2.078382229170303,2.0,585
2012-01-24,2012,1,24,-0.0,31.513,56.738,0.1742529168708591,2.063853743883996,4.598022094235404,3.1517372923379057,2.934437665368648,7.228065819229815,3.479097581536561,2.9151880231865666,2.030400055305951,1.0,494
