data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-02-01,ESTAÇÃO IRAJÁ,5,2012,2,1,0.2,29.184,68.163,0.487,29.838,49.252,79.092,4.924,40.547,26.333,7.917,-22.832,-43.327,42,N2 - Moderada
2012-02-02,ESTAÇÃO IRAJÁ,5,2012,2,2,0.0,30.59,61.485,0.314,10.343,35.463,45.808,2.897,47.134,23.042,5.25,-22.832,-43.327,57,N2 - Moderada
2012-02-03,ESTAÇÃO IRAJÁ,5,2012,2,3,0.0,30.64,59.168,0.32,9.23,32.679,41.91,7.823,45.639,23.979,3.792,-22.832,-43.327,48,N2 - Moderada
2012-02-04,ESTAÇÃO IRAJÁ,5,2012,2,4,0.0,30.695,57.942,0.345,5.951,32.157,38.108,4.341,60.266,23.208,4.0,-22.832,-43.327,93,N3 - Ruim
2012-02-05,ESTAÇÃO IRAJÁ,5,2012,2,5,0.0,31.283,57.708,0.331,3.834,26.993,30.828,1.018,53.268,19.375,3.125,-22.832,-43.327,54,N2 - Moderada
2012-02-06,ESTAÇÃO IRAJÁ,5,2012,2,6,0.0,32.735,53.698,0.372,12.022,45.815,57.834,1.831,53.576,27.458,6.083,-22.832,-43.327,61,N2 - Moderada
2012-02-07,ESTAÇÃO IRAJÁ,5,2012,2,7,0.4,32.929,53.355,0.665,20.508,77.988,98.495,3.628,92.582,59.896,23.333,-22.832,-43.327,199,N4 - Muito Ruim
2012-02-08,ESTAÇÃO IRAJÁ,5,2012,2,8,0.0,31.89,53.346,0.759,14.656,83.708,98.368,5.299,89.239,71.708,34.438,-22.832,-43.327,145,N4 - Muito Ruim
2012-02-09,ESTAÇÃO IRAJÁ,5,2012,2,9,0.0,31.627,57.192,0.778,19.902,85.046,104.933,9.124,110.0,76.062,36.729,-22.832,-43.327,219,N5 - Péssima
2012-02-10,ESTAÇÃO IRAJÁ,5,2012,2,10,0.0,31.166,64.601,0.67,12.18,62.292,74.469,5.431,72.616,57.375,23.396,-22.832,-43.327,145,N4 - Muito Ruim
2012-02-11,ESTAÇÃO IRAJÁ,5,2012,2,11,39.2,29.258,75.114,0.64,7.082,51.736,58.821,1.662,52.076,42.25,22.5,-22.832,-43.327,36,N1 - Boa
2012-02-12,ESTAÇÃO IRAJÁ,5,2012,2,12,24.8,27.959,82.195,0.538,4.114,42.072,46.184,0.445,70.721,21.958,13.208,-22.832,-43.327,75,N2 - Moderada
2012-02-13,ESTAÇÃO IRAJÁ,5,2012,2,13,0.0,29.174,73.999,0.476,9.355,47.625,56.976,0.787,56.038,21.021,7.562,-22.832,-43.327,72,N2 - Moderada
2012-02-14,ESTAÇÃO IRAJÁ,5,2012,2,14,0.0,30.342,63.266,0.262,8.73,29.063,37.785,0.121,40.6,19.521,3.229,-22.832,-43.327,39,N1 - Boa
2012-02-15,ESTAÇÃO IRAJÁ,5,2012,2,15,0.0,30.031,62.951,0.309,7.889,26.839,34.73,0.0,35.308,18.562,2.792,-22.832,-43.327,33,N1 - Boa
2012-02-16,ESTAÇÃO IRAJÁ,5,2012,2,16,0.0,29.235,66.611,0.26,8.356,25.262,33.618,0.0,32.905,20.5,3.354,-22.832,-43.327,26,N1 - Boa
2012-02-17,ESTAÇÃO IRAJÁ,5,2012,2,17,0.0,29.705,65.626,0.296,5.74,24.724,30.464,1.263,38.484,23.229,4.042,-22.832,-43.327,31,N1 - Boa
2012-02-18,ESTAÇÃO IRAJÁ,5,2012,2,18,0.0,30.478,59.505,0.301,3.727,24.616,28.342,6.035,52.282,19.625,3.208,-22.832,-43.327,44,N2 - Moderada
2012-02-19,ESTAÇÃO IRAJÁ,5,2012,2,19,0.0,31.096,59.014,0.305,3.147,23.608,26.743,8.465,48.672,16.125,3.208,-22.832,-43.327,50,N2 - Moderada
