data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,AQI,Qualidade_do_Ar
2012-02-02,ESTAÇÃO CAMPO GRANDE,4,2012,2,2,0.0,30.164,63.644,0.413,33.71,39.548,73.305,4.603,34.124,27.562,,-22.886,-43.557,31,N1 - Boa
2012-02-03,ESTAÇÃO CAMPO GRANDE,4,2012,2,3,0.0,30.911,57.11,0.394,35.094,37.37,62.098,7.269,34.936,25.833,,-22.886,-43.557,31,N1 - Boa
2012-02-04,ESTAÇÃO CAMPO GRANDE,4,2012,2,4,0.0,30.856,54.65,0.418,29.664,28.238,57.893,2.869,31.479,22.571,,-22.886,-43.557,25,N1 - Boa
2012-02-05,ESTAÇÃO CAMPO GRANDE,4,2012,2,5,0.0,31.416,54.041,0.391,8.473,26.298,34.752,3.121,39.701,20.854,,-22.886,-43.557,33,N1 - Boa
2012-02-06,ESTAÇÃO CAMPO GRANDE,4,2012,2,6,0.0,32.38,52.705,0.516,31.031,45.038,75.995,4.237,40.079,34.25,,-22.886,-43.557,36,N1 - Boa
2012-02-07,ESTAÇÃO CAMPO GRANDE,4,2012,2,7,0.0,31.967,54.842,0.529,27.483,47.113,74.639,4.17,77.671,44.333,,-22.886,-43.557,141,N4 - Muito Ruim
2012-02-08,ESTAÇÃO CAMPO GRANDE,4,2012,2,8,0.0,30.427,56.005,0.436,20.331,44.397,64.785,2.56,90.313,51.833,,-22.886,-43.557,133,N4 - Muito Ruim
2012-02-09,ESTAÇÃO CAMPO GRANDE,4,2012,2,9,0.0,31.221,56.308,0.456,28.627,48.27,77.006,1.99,110.584,54.667,,-22.886,-43.557,190,N4 - Muito Ruim
2012-02-10,ESTAÇÃO CAMPO GRANDE,4,2012,2,10,0.0,30.273,67.107,0.345,10.958,38.153,49.077,1.261,65.9,47.958,,-22.886,-43.557,89,N3 - Ruim
2012-02-11,ESTAÇÃO CAMPO GRANDE,4,2012,2,11,25.6,28.405,77.364,0.468,21.068,36.08,57.053,1.245,52.081,33.312,,-22.886,-43.557,32,N1 - Boa
2012-02-12,ESTAÇÃO CAMPO GRANDE,4,2012,2,12,23.6,27.614,80.669,0.489,3.369,32.232,35.601,2.275,61.27,19.104,,-22.886,-43.557,35,N1 - Boa
2012-02-13,ESTAÇÃO CAMPO GRANDE,4,2012,2,13,0.0,28.409,76.898,0.498,29.52,47.818,77.316,3.288,44.159,25.583,,-22.886,-43.557,35,N1 - Boa
2012-02-14,ESTAÇÃO CAMPO GRANDE,4,2012,2,14,0.0,29.949,65.918,0.359,42.53,42.277,84.983,3.31,48.278,36.667,,-22.886,-43.557,56,N2 - Moderada
2012-02-15,ESTAÇÃO CAMPO GRANDE,4,2012,2,15,0.0,29.97,61.449,0.317,26.416,34.455,60.801,1.982,39.688,28.333,,-22.886,-43.557,39,N1 - Boa
2012-02-16,ESTAÇÃO CAMPO GRANDE,4,2012,2,16,0.0,29.09,63.584,0.271,28.216,35.574,63.847,2.576,34.458,26.5,,-22.886,-43.557,30,N1 - Boa
2012-02-17,ESTAÇÃO CAMPO GRANDE,4,2012,2,17,0.0,29.517,64.148,0.321,37.033,37.101,74.092,3.041,43.143,30.625,,-22.886,-43.557,49,N2 - Moderada
