data_dia,target,no_t,no2_t,nox_t,o3_t,nox_x_o3_t,no_lag1,no_lag7,o3_lag1,o3_lag7,pm10_lag1,pm2_5_lag1,so2_lag12,no_ma60_s1,nox_ma60_s1,no2_ma30_s1,o3_ma150_s1,so2_ma150_s21,pm10_ma30_s1,pm2_5_ma7_s1
2012-01-01,507.0,1.2561889903067718,4.184801637603493,2.770516397810621,6.469834905570528,17.92478369701068,,,,,,,,,,,,,,
2012-01-02,728.0,1.884591343006832,4.419029679898907,3.0190502602681697,6.013861625857254,18.1561505067611,1.2561889903067718,,6.469834905570528,,3.0151622535383917,3.838249820007676,,,,,,,,
2012-01-03,429.0,2.0212305799803154,4.512331234611196,3.108324012556316,5.246713748873108,16.308486332631652,1.884591343006832,,6.013861625857254,,2.55708386366644,2.2399779779753177,,,,,,,,
2012-01-04,416.0,2.17501175966144,5.096620613124276,3.324093853918334,6.754887908684927,22.453881381166834,2.0212305799803154,,5.246713748873108,,3.020043516199696,2.0085421012797195,,,,,,,,
2012-01-05,403.0,2.007440024566145,4.843476741547732,3.181217131244547,7.889395242622354,25.09787930098946,2.17501175966144,,6.754887908684927,,3.353867608281268,3.968770586129137,,,,,,,,
2012-01-06,520.0,1.8405927640820128,4.921788285563426,3.1372856009337813,7.908702045937096,24.811857050793986,2.007440024566145,,7.889395242622354,,3.2834832905684728,3.3436319411263944,,,,,,,,
2012-01-07,299.0,1.822647483655531,4.38588750068066,2.98405363940284,8.039789641755299,23.991163540513153,1.8405927640820128,,7.908702045937096,,3.112976237705345,2.911403789574942,,,,,,,,
2012-01-08,390.0,1.6243475449541145,4.844071231309268,3.0572697636377164,8.425449427756886,25.758871780539828,1.822647483655531,1.2561889903067718,8.039789641755299,6.469834905570528,2.921945386435509,2.823241250949408,,,,,,,,3.0191167810060846
2012-01-09,442.0,1.914053237436876,4.785359515046163,3.1271573595796824,5.625094511355824,17.590555699517644,1.6243475449541145,1.884591343006832,8.425449427756886,6.013861625857254,3.227124601766228,3.9640698678465673,,,,,,,,3.0370910735544983
2012-01-10,546.0,2.1616006409604007,5.006760021117489,3.297634665735729,5.032456204137566,16.59520203256088,1.914053237436876,2.0212305799803154,5.625094511355824,5.246713748873108,2.675377000696382,2.3707505028906786,,,,,,,,3.055772862828121
2012-01-11,494.0,1.973696025999844,5.088591939382017,3.22768731542608,5.75379641282688,18.5714556972254,2.1616006409604007,2.17501175966144,5.032456204137566,6.754887908684927,3.120219281289472,2.873377648605789,,,,,,,,3.179320798160417
2012-01-12,468.0,2.125166338608272,4.959844805002661,3.267148136082393,5.46562348120371,17.85700156914286,1.973696025999844,2.007440024566145,5.75379641282688,7.889395242622354,3.148401768701105,2.626555097380701,,,,,,,,2.9875757283392117
2012-01-13,377.0,2.153197919612692,4.902936498424897,3.270522904792052,6.142210437340233,20.08823992137404,2.125166338608272,1.8405927640820128,5.46562348120371,7.908702045937096,3.281281089621826,2.538761952571278,1.5676918407701617,,,,,,,2.872594301402766
2012-01-14,403.0,2.103095305296232,4.744633446825371,3.21173863535464,7.10993925422834,22.835266597829715,2.153197919612692,1.822647483655531,6.142210437340233,8.039789641755299,3.337445491728908,2.795635358553697,1.1894130315504454,,,,,,,2.856055954114017
2012-01-15,260.0,1.726133391251004,4.39832541561756,2.9523794309313054,7.743486949245933,22.8617115926387,2.103095305296232,1.6243475449541145,7.10993925422834,8.425449427756886,3.237457377188279,3.3497199948998104,2.0044122540096456,,,,,,,2.9312672032497886
2012-01-16,572.0,1.867639301821866,5.147794837512266,3.2069662415554565,8.275419640629412,26.538991422203512,1.726133391251004,1.914053237436876,7.743486949245933,5.625094511355824,3.0108899809288427,3.1294465089447216,1.7367373974823803,,,,,,,2.8120352948352396
2012-01-17,390.0,2.1055535743801315,5.516347127043402,3.383488243950941,8.794091852948023,29.754706400674383,1.867639301821866,2.1616006409604007,8.275419640629412,5.032456204137566,3.165745439684468,4.0370142190897305,1.7157699945273668,,,,,,,3.0500729685779606
2012-01-18,403.0,1.7874615960854408,4.776325935321408,3.08026295982134,9.48294179285811,29.20995435468261,2.1055535743801315,1.973696025999844,8.794091852948023,5.75379641282688,3.501102525304276,4.718717545142694,2.144553931063791,,,,,,,3.3136929537975184
2012-01-19,572.0,1.931090137554825,4.891535227057904,3.1610060847050367,9.332636969507885,29.500522246957598,1.7874615960854408,2.125166338608272,9.48294179285811,5.46562348120371,3.5018692420156934,4.280420027261434,1.863347007947353,,,,,,,3.5499593723519096
2012-01-20,507.0,1.668341457879016,4.948932617421947,3.0983924396924247,9.026557100906375,27.967816277900283,1.931090137554825,2.153197919612692,9.332636969507885,6.142210437340233,3.588042612641034,4.31193634325573,2.6279387899926494,,,,,,,3.8032699995925454
2012-01-21,377.0,1.8710882529363615,4.943124640779064,3.153233488122684,9.300273822792263,29.325934866739335,1.668341457879016,2.103095305296232,9.026557100906375,7.10993925422834,3.390795599905048,4.4321220635494205,1.7157699945273668,,,,,,,4.037053814591935
2012-01-22,156.0,1.5739822395486824,4.584947138867307,2.966275052820557,8.731898086943891,25.90121145907321,1.8710882529363615,1.726133391251004,9.300273822792263,7.743486949245933,3.517942662599612,3.617964595165669,2.206366962115227,,,,,,,4.075374471772771
2012-01-23,585.0,1.9825855774190388,4.697268793554088,3.134191257643939,7.96558981871361,24.965681971789767,1.5739822395486824,1.867639301821866,8.731898086943891,8.275419640629412,3.3144080941318803,2.791635212160688,2.273818991692681,,,,,,,4.027115715089338
